"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name","Pathogen"
"ENSG000002365251",0.129138776787894,3.90098228887719,5.43655577717747,6.8960621341608e-08,7.37283110113983e-07,7.33963591390701,"ENSG00000236525","HCMV"
"ENSG000002436641",0.096935665808552,-0.66518527991963,5.43585664919526,6.92177295762663e-08,7.39306426341798e-07,7.65340003317444,"RPS29P12","HCMV"
"ENSG000002893311",0.087036446682304,-0.421626256754585,5.435168015948,6.94775410859399e-08,7.41465815476343e-07,7.63398043028506,"ENSG00000289331","HCMV"
"ENSG000002655271",0.116640683348086,2.15827214938709,5.43306573490338,7.02783096089887e-08,7.48799065071029e-07,7.43425528621577,"MIR5690","HCMV"
"ENSG000002795701",0.0617082510611792,2.17320921863869,5.43107843089332,7.10400879522306e-08,7.5506950067861e-07,7.44947475771305,"ENSG00000279570","HCMV"
"ENSG000001630811",0.118556822803103,-2.51939760212522,5.43097977594269,7.10781999841818e-08,7.55106240592558e-07,7.7243919690215,"CCDC140","HCMV"
"ENSG000000766851",0.0368689362968736,7.21820797115574,5.4307161966927,7.11801223083832e-08,7.55820509248227e-07,7.2988735749886,"NT5C2","HCMV"
"ENSG000002860671",0.057213423558805,4.44992167478596,5.42976016785256,7.15509961260116e-08,7.59388531217568e-07,7.28907343240108,"ENSG00000286067","HCMV"
"ENSG000001009061",0.0817902740779848,8.0538240590316,5.4282749274681,7.21326703525598e-08,7.6481691207393e-07,7.31593984378403,"NFKBIA","HCMV"
"ENSG000000841101",0.0860374834399208,6.79930033227184,5.42657164812714,7.28033213396613e-08,7.71177233189052e-07,7.26785796298108,"HAL","HCMV"
"ENSG000002377111",0.0541562990642521,2.22519431622262,5.42619474166653,7.29507412262388e-08,7.71988198435414e-07,7.41992949645645,"MTCO3P11","HCMV"
"ENSG000000704761",0.0309240953491628,5.94843379630354,5.42620015546927,7.29485958268008e-08,7.71988198435414e-07,7.24802869961897,"ZXDC","HCMV"
"ENSG000002573651",0.035897371871325,2.50718208117726,5.42594143570165,7.30511906009302e-08,7.72675918448382e-07,7.40704431827134,"FNTB","HCMV"
"ENSG000002542741",0.0590888456163291,-0.359439168590912,5.42339351560167,7.40690687184044e-08,7.80789036432178e-07,7.56805508931039,"TDGF1P5","HCMV"
"ENSG000001202171",0.119662616106625,5.25393666507487,5.42171026779031,7.47551617903789e-08,7.8687933345438e-07,7.22703141213243,"CD274","HCMV"
"ENSG000002775951",0.0640488335105966,0.897487231243955,5.42056495248162,7.52151776954579e-08,7.91339211398518e-07,7.4861742012456,"ENSG00000277595","HCMV"
"ENSG000000225671",0.0627117300298466,7.25071321707996,5.41872861384402,7.59684685952871e-08,7.98878842771578e-07,7.2373660857877,"SLC45A4","HCMV"
"ENSG000001584111",0.0449885920595357,3.87095631108522,5.41798444227449,7.62757705242673e-08,8.01723475134231e-07,7.26126138518048,"MITD1","HCMV"
"ENSG000001317591",0.055091507032501,7.44988091393251,5.41649818152236,7.68931941283107e-08,8.07434123788801e-07,7.23208161516296,"RARA","HCMV"
"ENSG000002339541",0.0520047950825029,0.283516441433581,5.41602148384779,7.70922490231034e-08,8.08355637133975e-07,7.5030327102043,"UQCRHL","HCMV"
"ENSG000002870111",0.0988520254656754,-0.183716415004363,5.41509610372821,7.74812350958745e-08,8.12043593797023e-07,7.51309715841005,"ENSG00000287011","HCMV"
"ENSG000001386421",0.103766350994441,3.89563318846501,5.41181240524324,7.88735885217442e-08,8.25841720471064e-07,7.21121624648655,"HERC6","HCMV"
"ENSG000002275121",0.0675522079198654,3.55678833244876,5.40856652009724,8.02713773855482e-08,8.39015393196134e-07,7.2280077266309,"ENSG00000227512","HCMV"
"ENSG000002891671",0.117302679841835,-0.792132699358501,5.40808308514411,8.0483450303365e-08,8.40677803767986e-07,7.51803255939098,"ENSG00000289167","HCMV"
"ENSG000002900191",0.0857719484454616,-0.0205130924866677,5.40781599439413,8.05980001983238e-08,8.41470927801283e-07,7.47937741775611,"ENSG00000290019","HCMV"
"ENSG000001876081",0.178547356821894,4.31226955129924,5.40637924075742,8.12341210238868e-08,8.47706064650129e-07,7.16348022616435,"ISG15","HCMV"
"ENSG000002859941",0.0910509988846094,3.78165214892813,5.40309639104259,8.26859655572386e-08,8.61206741647548e-07,7.17869369862775,"ENSG00000285994","HCMV"
"ENSG000002746951",0.085331444465843,-1.76668321339143,5.40175804895716,8.32849435061357e-08,8.67030881058381e-07,7.55385503903636,"ENSG00000274695","HCMV"
"ENSG000002894781",0.0982199075290858,1.32693691259225,5.40111163176882,8.35787581079012e-08,8.69258978717451e-07,7.35524914783689,"ENSG00000289478","HCMV"
"ENSG000001610361",0.0580396285579824,4.59499480772299,5.40069464904252,8.37654828252625e-08,8.70370102660775e-07,7.13424118086728,"LRWD1","HCMV"
